stats:,9.61356297093649,11.347162366151094
position,trigrams,count
0,"('enact', 'senat', 'hous')",7
1,"('senat', 'hous', 'repres')",12
2,"('hous', 'repres', 'unit')",7
3,"('repres', 'unit', 'state')",8
4,"('unit', 'state', 'america')",31
5,"('state', 'america', 'congress')",7
6,"('america', 'congress', 'assembl')",7
7,"('congress', 'assembl', 'section')",7
8,"('assembl', 'section', 'short')",5
9,"('section', 'short', 'titl')",6
10,"('short', 'titl', 'act')",6
11,"('titl', 'act', 'cite')",6
12,"('redund', 'elimin', 'enhanc')",5
13,"('elimin', 'enhanc', 'perform')",5
14,"('enhanc', 'perform', 'prepared')",5
15,"('perform', 'prepared', 'grant')",5
16,"('prepared', 'grant', 'act')",5
17,"('secur', 'act', 'usc')",13
18,"('act', 'usc', 'et')",39
19,"('usc', 'et', 'seq')",39
20,"('et', 'seq', 'amend')",14
21,"('seq', 'amend', 'ad')",6
22,"('amend', 'ad', 'end')",21
23,"('ad', 'end', 'follow')",27
24,"('end', 'follow', 'new')",19
25,"('follow', 'new', 'section')",9
26,"('new', 'section', 'sec')",9
27,"('later', 'day', 'date')",7
28,"('day', 'date', 'enact')",8
29,"('speaker', 'ask', 'unanim')",5
30,"('ask', 'unanim', 'consent')",153
31,"('unanim', 'consent', 'member')",8
32,"('consent', 'member', 'legisl')",6
33,"('member', 'legisl', 'day')",6
34,"('legisl', 'day', 'revis')",8
35,"('day', 'revis', 'extend')",8
36,"('revis', 'extend', 'remark')",14
37,"('yield', 'time', 'consum')",9
38,"('committe', 'homeland', 'secur')",7
39,"('urg', 'colleagu', 'support')",7
40,"('hous', 'repres', 'committe')",7
41,"('committe', 'transport', 'infrastructur')",9
42,"('washington', 'dc', 'decemb')",9
43,"('dc', 'decemb', 'hon')",5
44,"('washington', 'dc', 'dear')",12
45,"('look', 'forward', 'work')",7
46,"('reserv', 'balanc', 'time')",25
47,"('yea', 'nay', 'order')",7
48,"('make', 'sure', 'get')",5
49,"('urg', 'colleagu', 'vote')",7
50,"('presid', 'ask', 'unanim')",94
51,"('unanim', 'consent', 'order')",14
52,"('consent', 'order', 'quorum')",12
53,"('order', 'quorum', 'call')",12
54,"('quorum', 'call', 'rescind')",11
55,"('call', 'rescind', 'presid')",9
56,"('confer', 'agreement', 'provid')",5
57,"('senat', 'side', 'aisl')",9
58,"('dont', 'know', 'deal')",9
59,"('unanim', 'consent', 'senat')",20
60,"('senat', 'new', 'hampshir')",18
61,"('health', 'insur', 'compani')",76
62,"('presid', 'unit', 'state')",10
63,"('unanim', 'consent', 'time')",8
64,"('sell', 'health', 'insur')",6
65,"('health', 'insur', 'polici')",9
66,"('creat', 'new', 'entitl')",6
67,"('new', 'entitl', 'program')",10
68,"('home', 'health', 'care')",84
69,"('new', 'york', 'time')",15
70,"('health', 'care', 'reform')",182
71,"('reduc', 'health', 'care')",5
72,"('health', 'care', 'cost')",53
73,"('time', 'ask', 'unanim')",6
74,"('home', 'health', 'servic')",6
75,"('know', 'dont', 'know')",5
76,"('health', 'care', 'provid')",10
77,"('presid', 'much', 'time')",11
78,"('much', 'time', 'remain')",15
79,"('medicar', 'advantag', 'polici')",5
80,"('madam', 'presid', 'much')",5
81,"('lower', 'health', 'care')",7
82,"('unanim', 'consent', 'print')",9
83,"('consent', 'print', 'record')",9
84,"('unanim', 'consent', 'request')",13
85,"('make', 'sure', 'medicar')",6
86,"('friend', 'side', 'aisl')",16
87,"('dont', 'health', 'insur')",8
88,"('take', 'billion', 'medicar')",6
89,"('care', 'reform', 'bill')",39
90,"('health', 'care', 'polici')",5
91,"('chairman', 'financ', 'committe')",21
92,"('make', 'medicar', 'solvent')",6
93,"('peopl', 'side', 'aisl')",5
94,"('health', 'care', 'bill')",62
95,"('long', 'period', 'time')",6
96,"('bend', 'cost', 'curv')",7
97,"('health', 'care', 'legisl')",6
98,"('congression', 'budget', 'offic')",82
99,"('budget', 'offic', 'said')",8
100,"('feder', 'govern', 'limit')",5
101,"('suprem', 'court', 'decis')",5
102,"('requir', 'individu', 'purchas')",10
103,"('chang', 'health', 'care')",9
104,"('everybodi', 'health', 'insur')",10
105,"('purchas', 'health', 'insur')",22
106,"('role', 'feder', 'govern')",5
107,"('democrat', 'health', 'care')",13
108,"('high', 'cost', 'plan')",5
109,"('cost', 'plan', 'tax')",5
110,"('tax', 'high', 'cost')",5
111,"('margin', 'tax', 'rate')",6
112,"('pay', 'health', 'insur')",10
113,"('health', 'insur', 'bill')",8
114,"('mr', 'presid', 'yield')",14
115,"('presid', 'yield', 'floor')",15
116,"('health', 'care', 'system')",77
117,"('small', 'busi', 'owner')",11
118,"('health', 'care', 'plan')",15
119,"('colleagu', 'side', 'aisl')",13
120,"('famili', 'health', 'insur')",8
121,"('health', 'insur', 'coverag')",17
122,"('insur', 'compani', 'go')",5
123,"('primari', 'care', 'physician')",10
124,"('fight', 'insur', 'compani')",5
125,"('current', 'health', 'care')",11
126,"('health', 'care', 'insur')",8
127,"('state', 'insur', 'regul')",7
128,"('money', 'health', 'care')",5
129,"('come', 'health', 'care')",5
130,"('defens', 'appropri', 'bill')",5
131,"('pass', 'health', 'care')",11
132,"('yield', 'floor', 'presid')",20
133,"('floor', 'presid', 'offic')",9
134,"('presid', 'offic', 'mr')",18
135,"('rule', 'madam', 'speaker')",5
136,"('energi', 'commerc', 'committe')",6
137,"('ask', 'given', 'permiss')",6
138,"('given', 'permiss', 'revis')",6
139,"('permiss', 'revis', 'extend')",6
140,"('new', 'orlean', 'louisiana')",5
141,"('unit', 'state', 'govern')",7
142,"('freedom', 'inform', 'act')",6
143,"('american', 'health', 'care')",7
144,"('suggest', 'absenc', 'quorum')",12
145,"('record', 'vote', 'order')",6
146,"('bill', 'us', 'today')",5
147,"('billion', 'next', 'year')",19
148,"('govern', 'health', 'care')",5
149,"('need', 'make', 'sure')",9
150,"('ms', 'jacksonle', 'texa')",7
151,"('cost', 'health', 'care')",32
152,"('act', 'presid', 'pro')",61
153,"('presid', 'pro', 'tempor')",62
154,"('pro', 'tempor', 'without')",11
155,"('tempor', 'without', 'object')",11
156,"('without', 'object', 'order')",17
157,"('budget', 'offic', 'say')",9
158,"('cut', 'medicar', 'advantag')",17
159,"('medicar', 'advantag', 'go')",7
160,"('million', 'senior', 'medicar')",5
161,"('senior', 'medicar', 'advantag')",6
162,"('medicar', 'advantag', 'program')",34
163,"('medicar', 'advantag', 'medicar')",9
164,"('advantag', 'medicar', 'advantag')",6
165,"('medicar', 'advantag', 'plan')",67
166,"('chronic', 'care', 'manag')",5
167,"('bill', 'cut', 'medicar')",5
168,"('benefit', 'medicar', 'advantag')",10
169,"('debat', 'health', 'care')",11
170,"('time', 'madam', 'speaker')",16
171,"('madam', 'speaker', 'reserv')",6
172,"('speaker', 'reserv', 'balanc')",10
173,"('balanc', 'time', 'madam')",15
174,"('madam', 'speaker', 'like')",7
175,"('speaker', 'like', 'yield')",6
176,"('like', 'yield', 'minut')",5
177,"('madam', 'speaker', 'yield')",31
178,"('speaker', 'yield', 'minut')",26
179,"('yield', 'minut', 'gentleman')",24
180,"('american', 'back', 'work')",5
181,"('speaker', 'yield', 'time')",6
182,"('extend', 'remark', 'madam')",5
